                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5952,                 3.8463,                 1.7642,                0.35184,                0.58285,                 0.3828,                0.23337,                  1.036,                 1.9851,                 1.4373,               0.066775,             3.3258e-05,             3.3258e-05
                      2,                 1.1257,                 2.3184,                  1.408,                0.58617,                0.82023,                 0.6894,                0.53745,                0.67558,                 1.1053,                 1.1861,               0.033468,             5.9999e-05,             5.9999e-05
                      3,                0.95821,                 1.7691,                  1.293,                0.74207,                 0.8588,                0.85428,                0.69037,                0.57915,                0.83413,                 1.1049,             0.00015521,              8.014e-05,              8.014e-05
                      4,                0.84694,                 1.4184,                 1.2136,                0.84646,                0.90463,                0.94603,                0.80317,                0.48627,                0.62362,                 1.0213,               7.03e-05,               7.03e-05,               7.03e-05
                      5,                0.78872,                 1.2469,                 1.1765,                0.86068,                  0.895,                0.96028,                0.83766,                0.44884,                0.56036,                0.98646,               6.04e-05,               6.04e-05,               6.04e-05
                      6,                0.77263,                 1.1723,                 1.1691,                0.91988,                0.93912,                 0.9849,                0.85716,                0.44101,                0.48679,                0.97673,               5.05e-05,               5.05e-05,               5.05e-05
                      7,                 0.7418,                 1.0993,                 1.1389,                 0.9129,                0.91728,                0.98437,                0.87337,                0.40911,                0.46941,                0.95042,               4.06e-05,               4.06e-05,               4.06e-05
                      8,                0.72644,                 1.0628,                 1.1362,                0.90695,                0.93413,                0.98575,                0.88228,                0.40675,                 0.4516,                0.94226,               3.07e-05,               3.07e-05,               3.07e-05
                      9,                0.71097,                 1.0285,                 1.1177,                0.93217,                0.93429,                0.98532,                0.87924,                0.40939,                0.42945,                0.94955,               2.08e-05,               2.08e-05,               2.08e-05
                     10,                0.70805,                 1.0224,                 1.1215,                0.94375,                0.92158,                0.98659,                 0.8874,                0.39969,                0.42368,                0.93602,               1.09e-05,               1.09e-05,               1.09e-05
