                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0268,                 6.5621,                 3.3014,                0.00152,                   0.06,                0.00068,                0.00025,                    nan,                    nan,                    nan,                0.07815,                0.00115,                0.00115
                      2,                 2.6519,                 3.4466,                 3.0356,                0.00152,                   0.06,                0.00068,                0.00025,                    nan,                    nan,                    nan,               0.055117,              0.0021174,              0.0021174
                      3,                 2.6574,                 2.8182,                      3,                0.00152,                   0.06,                0.00068,                0.00025,                    nan,                    nan,                    nan,               0.031847,              0.0028471,              0.0028471
                      4,                 2.5909,                  2.759,                 3.0031,                0.00152,                   0.06,                0.00068,                0.00025,                    nan,                    nan,                    nan,              0.0083393,              0.0033393,              0.0033393
                      5,                 2.5906,                 2.7032,                 3.0372,                0.00062,                   0.35,                 0.0011,                0.00082,                 2.5906,                    inf,                 29.349,                0.00302,                0.00302,                0.00302
                      6,                 2.5529,                 2.6302,                      3,                 0.0239,                   0.57,                 0.0179,                0.00465,                  2.709,                    inf,                 10.697,               0.002525,               0.002525,               0.002525
                      7,                 2.5383,                 2.5363,                  3.011,                0.57759,                   0.09,                0.04398,                0.01034,                 2.9082,                 60.274,                 5.1945,                0.00203,                0.00203,                0.00203
                      8,                 2.5459,                 2.4694,                 3.0312,                0.55679,                   0.04,                0.02576,                0.00721,                 2.8853,                  7.186,                 3.9815,               0.001535,               0.001535,               0.001535
                      9,                 2.5387,                 2.4432,                 3.0093,                0.56878,                   0.21,                0.07883,                0.01969,                 2.5575,                 3.4632,                 3.2698,                0.00104,                0.00104,                0.00104
                     10,                 2.5392,                 2.3632,                 3.0439,                 0.1341,                   0.42,                0.13704,                0.03569,                 2.4118,                 2.3983,                 2.9775,               0.000545,               0.000545,               0.000545
