                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5505,                 3.6047,                 1.6934,                0.19659,                0.21649,                0.17725,                0.05547,                 2.2498,                 2.9163,                 2.4566,               0.079021,                2.1e-05,                2.1e-05
                      2,                 1.1232,                 1.5707,                  1.416,                0.49892,                0.63739,                0.45774,                0.18835,                 1.6249,                 2.4347,                 1.9185,               0.057042,             4.1581e-05,             4.1581e-05
                      3,                0.92666,                 1.0739,                 1.2585,                0.70655,                0.71369,                0.75661,                0.52309,                0.90631,                 1.4346,                 1.3625,               0.035061,              6.071e-05,              6.071e-05
                      4,                0.92869,                0.91702,                 1.2377,                0.86271,                0.88143,                0.92514,                0.76099,                0.64072,                0.64716,                 1.1423,               0.013078,             7.8387e-05,             7.8387e-05
                      5,                0.88735,                0.87285,                 1.2354,                0.94722,                0.92464,                0.97392,                0.79206,                0.62786,                0.48639,                 1.1154,               8.68e-05,               8.68e-05,               8.68e-05
                      6,                0.86786,                0.79209,                 1.2285,                 0.9504,                0.98052,                0.98201,                0.82339,                0.60025,                 0.4159,                 1.0953,               8.35e-05,               8.35e-05,               8.35e-05
                      7,                 0.8639,                0.77267,                 1.2246,                0.97421,                0.96568,                0.98164,                 0.8359,                0.57036,                0.40044,                 1.0672,               8.02e-05,               8.02e-05,               8.02e-05
                      8,                0.80471,                0.77399,                 1.1729,                0.96193,                0.97086,                0.97872,                   0.84,                0.54814,                0.39381,                   1.06,               7.69e-05,               7.69e-05,               7.69e-05
                      9,                0.79243,                0.68765,                 1.1595,                0.97857,                0.97517,                0.97722,                0.82059,                0.56655,                0.34794,                 1.0458,               7.36e-05,               7.36e-05,               7.36e-05
                     10,                0.80438,                0.73362,                 1.1897,                0.97272,                0.97889,                0.97449,                0.82767,                  0.607,                0.35999,                 1.0597,               7.03e-05,               7.03e-05,               7.03e-05
                     11,                0.81747,                0.67226,                 1.1845,                0.97993,                0.97669,                0.97025,                0.82707,                0.55389,                0.33191,                 1.0419,                6.7e-05,                6.7e-05,                6.7e-05
                     12,                0.78773,                0.67852,                 1.1767,                0.98907,                 0.9878,                0.97967,                0.83716,                0.56313,                0.30362,                 1.0464,               6.37e-05,               6.37e-05,               6.37e-05
                     13,                0.79348,                0.67665,                 1.1585,                0.98488,                0.98616,                0.97848,                0.84451,                 0.5389,                0.30552,                 1.0361,               6.04e-05,               6.04e-05,               6.04e-05
                     14,                0.73712,                0.59128,                 1.1428,                0.98951,                0.96662,                0.97818,                0.85589,                0.52617,                0.31485,                 1.0448,               5.71e-05,               5.71e-05,               5.71e-05
                     15,                 0.7471,                0.62715,                 1.1483,                0.97786,                   0.98,                0.97486,                0.83791,                0.52345,                0.29099,                 1.0564,               5.38e-05,               5.38e-05,               5.38e-05
                     16,                  0.757,                0.62178,                 1.1615,                0.97743,                0.97998,                0.97068,                0.82887,                0.56174,                0.29271,                 1.0886,               5.05e-05,               5.05e-05,               5.05e-05
                     17,                0.73206,                0.60239,                 1.1312,                0.97723,                 0.9793,                0.96773,                0.83537,                0.55321,                0.29163,                 1.1016,               4.72e-05,               4.72e-05,               4.72e-05
                     18,                0.80361,                0.65257,                 1.1932,                0.96399,                   0.97,                0.96937,                0.83683,                0.55693,                 0.3108,                 1.0766,               4.39e-05,               4.39e-05,               4.39e-05
