                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0793,                 6.1666,                 2.3404,                0.03792,                   0.12,                0.00942,                 0.0019,                 3.9158,                 19.353,                 6.6944,                0.08005,                0.00105,                0.00105
                      2,                 2.1863,                  2.471,                 2.4274,                0.03792,                   0.12,                0.00942,                 0.0019,                    nan,                    nan,                    nan,               0.058937,              0.0019372,              0.0019372
                      3,                 2.0017,                  1.972,                 2.1615,                0.00404,                   0.92,                0.00434,                0.00163,                  2.612,                    inf,                 20.063,               0.037607,              0.0026065,              0.0026065
                      4,                 1.9606,                 1.8819,                 2.1203,                 0.0057,                   0.84,                0.00633,                0.00171,                 3.2925,                    inf,                 12.792,               0.016058,              0.0030581,              0.0030581
                      5,                  1.828,                 1.7417,                 1.8866,                0.00685,                   0.83,                0.00732,                0.00223,                 3.0544,                    inf,                 12.511,                0.00302,                0.00302,                0.00302
                      6,                 1.6258,                 1.6236,                 1.7903,                0.01567,                   0.14,                0.00444,                0.00127,                 4.8854,                    inf,                 32.301,               0.002525,               0.002525,               0.002525
                      7,                 1.5292,                 1.3933,                 1.7039,                0.50857,                   0.25,                 0.0079,                0.00255,                 3.7514,                 217.22,                 8.5435,                0.00203,                0.00203,                0.00203
                      8,                 1.5684,                 1.3175,                 1.7657,                0.82692,                   0.17,                0.30696,                0.15315,                 1.9242,                 6.9746,                 2.6178,               0.001535,               0.001535,               0.001535
                      9,                 1.4048,                  1.126,                 1.6288,                0.92857,                   0.24,                0.40934,                0.17694,                 1.5311,                  7.067,                 1.8971,                0.00104,                0.00104,                0.00104
                     10,                 1.3401,                 1.0795,                 1.5794,                0.43426,                   0.67,                0.65365,                0.38226,                 1.3274,                 2.4025,                 1.6014,               0.000545,               0.000545,               0.000545
